timestamp,eunis_code,feature_class_name,area_m2,status,message
2025-10-10T16:54:56,ME62: Atlantic upper bathyal mud,f_8486a66bc1b54ce5ae96bf3969c268,909040067009.06,success,imported successfully
2025-10-10T16:56:01,ME65: Mediterranean upper bathyal mud,f_c019f440e1dd4fc097965a3b00fe9b,206839835213.96,success,imported successfully
2025-10-10T16:56:28,MF12: Atlantic lower bathyal rock,f_7805f7a0fd15495a83e2763f70a380,14368331935.67,success,imported successfully
2025-10-10T16:56:51,MF15: Mediterranean lower bathyal rock,f_2660b7ec2eca4b53bae71729c736e6,4891970864.51,success,imported successfully
2025-10-10T16:57:13,MF221: Atlantic lower bathyal cold water coral reef,f_6ea23f94aa9e4ae49fe9c414fb0657,20933254.12,success,imported successfully
2025-10-10T16:57:36,MF32: Atlantic lower bathyal coarse sediment,f_4bbd07914d114fc6bd0448b0f6133a,14740911504.73,success,imported successfully
2025-10-10T16:57:59,MF35: Mediterranean lower bathyal coarse sediment,f_c0cc023c73574d139ea9cbc415e75d,869240794.98,success,imported successfully
2025-10-10T16:58:21,MF42: Atlantic lower bathyal mixed sediment,f_252b665b8926420b863773712787ac,26040513046.4,success,imported successfully
2025-10-10T16:58:45,MF45: Mediterranean lower bathyal mixed sediment,f_06a008c76d704fefa671a0ebb0a1e6,581648442.08,success,imported successfully
2025-10-10T16:59:07,MF52: Atlantic lower bathyal sand,f_b9f56a073c64477e8fa08fd7f3cf84,23087957337.21,success,imported successfully
2025-10-10T16:59:33,MF55: Mediterranean lower bathyal sand,f_1fdda4d38b174f0f9970ff8bd54ec5,13222287625.62,success,imported successfully
2025-10-10T16:59:59,MF62: Atlantic lower bathyal mud,f_19cf876f000044a0978aee34cb71ad,574062506402.82,success,imported successfully
2025-10-10T17:00:38,MF65: Mediterranean lower bathyal mud,f_d6eb1c8922ea489891bc8cbe417a60,1382815236967.85,success,imported successfully
2025-10-10T17:01:05,MG12: Atlantic abyssal rock,f_0c71e12378414c529953ff4cad7473,24145683172.36,success,imported successfully
2025-10-10T17:01:27,MG32: Atlantic abyssal coarse sediment,f_df43fb3057714393946e522ef11589,1163252429.59,success,imported successfully
2025-10-10T17:01:50,MG42: Atlantic abyssal mixed sediment,f_62835f17186e4855a58fe9ee3e117c,7505426733.36,success,imported successfully
2025-10-10T17:02:13,MG52: Atlantic abyssal sand,f_7e9fa684175f4e95814ed0fc116b4b,44107383947.21,success,imported successfully
2025-10-10T17:02:36,MG55: Mediterranean abyssal sand,f_8fc848bd790d4cbba17131997d037f,3774913815.08,success,imported successfully
2025-10-10T17:02:59,MG62: Atlantic abyssal mud,f_93b10dd4fbca41a5be0fe9e03787c8,1749773243006.56,success,imported successfully
2025-10-10T17:03:41,MG65: Mediterranean abyssal mud,f_4dd1ec21ba654af39869d6a7941d96,317019428689.6,success,imported successfully
2025-10-10T17:04:04,Na,f_33175aa1545f4adc9f81a3e3996d57,7053713382517.34,success,imported successfully
